area,year,item_no,item_short,measure,category,label,points,n,pct
"พื้นที่สูง",2565,10,"อินเทอร์เน็ต","multiset","1","1. ไม่มีเครือข่าย Internet",3,78,4.81
"พื้นที่สูง",2565,10,"อินเทอร์เน็ต","multiset","2","2. จานรับสัญญาณดาวเทียม",2,118,7.27
"พื้นที่สูง",2565,10,"อินเทอร์เน็ต","multiset","3","3. ไร้สาย (มือถือ)",1,630,38.82
"พื้นที่สูง",2565,10,"อินเทอร์เน็ต","multiset","4","4. Leased line / Fiber",0,1237,76.22
"พื้นที่สูง",2565,10,"อินเทอร์เน็ต","multiset","blank","(ไม่ได้กรอก)",,26,1.6
"พื้นที่สูง",2566,10,"อินเทอร์เน็ต","multiset","1","1. ไม่มีเครือข่าย Internet",3,1,0.44
"พื้นที่สูง",2566,10,"อินเทอร์เน็ต","multiset","2","2. จานรับสัญญาณดาวเทียม",2,11,4.82
"พื้นที่สูง",2566,10,"อินเทอร์เน็ต","multiset","3","3. ไร้สาย (มือถือ)",1,69,30.26
"พื้นที่สูง",2566,10,"อินเทอร์เน็ต","multiset","4","4. Leased line / Fiber",0,192,84.21
"พื้นที่สูง",2566,10,"อินเทอร์เน็ต","multiset","blank","(ไม่ได้กรอก)",,12,5.26
"พื้นที่สูง",2567,10,"อินเทอร์เน็ต","multiset","1","1. ไม่มีเครือข่าย Internet",3,2,3.28
"พื้นที่สูง",2567,10,"อินเทอร์เน็ต","multiset","2","2. จานรับสัญญาณดาวเทียม",2,1,1.64
"พื้นที่สูง",2567,10,"อินเทอร์เน็ต","multiset","3","3. ไร้สาย (มือถือ)",1,23,37.7
"พื้นที่สูง",2567,10,"อินเทอร์เน็ต","multiset","4","4. Leased line / Fiber",0,45,73.77
"พื้นที่สูง",2567,10,"อินเทอร์เน็ต","multiset","blank","(ไม่ได้กรอก)",,9,14.75
"พื้นที่สูง",2569,10,"อินเทอร์เน็ต","multiset","1","1. ไม่มีเครือข่าย Internet",3,1,1.37
"พื้นที่สูง",2569,10,"อินเทอร์เน็ต","multiset","2","2. จานรับสัญญาณดาวเทียม",2,1,1.37
"พื้นที่สูง",2569,10,"อินเทอร์เน็ต","multiset","3","3. ไร้สาย (มือถือ)",1,17,23.29
"พื้นที่สูง",2569,10,"อินเทอร์เน็ต","multiset","4","4. Leased line / Fiber",0,42,57.53
"พื้นที่สูง",2569,10,"อินเทอร์เน็ต","multiset","blank","(ไม่ได้กรอก)",,27,36.99
"พื้นที่สูง",2565,11,"% ชาติพันธุ์","percent","0%","0%",,310,19.1
"พื้นที่สูง",2565,11,"% ชาติพันธุ์","percent","0.01–24.99%","0.01–24.99%",,159,9.8
"พื้นที่สูง",2565,11,"% ชาติพันธุ์","percent","25–49.99%","25–49.99%",,124,7.64
"พื้นที่สูง",2565,11,"% ชาติพันธุ์","percent","50–74.99%","50–74.99%",,135,8.32
"พื้นที่สูง",2565,11,"% ชาติพันธุ์","percent","75–99.99%","75–99.99%",,222,13.68
"พื้นที่สูง",2565,11,"% ชาติพันธุ์","percent","100%","100%",,673,41.47
"พื้นที่สูง",2566,11,"% ชาติพันธุ์","percent","0%","0%",,125,54.82
"พื้นที่สูง",2566,11,"% ชาติพันธุ์","percent","0.01–24.99%","0.01–24.99%",,31,13.6
"พื้นที่สูง",2566,11,"% ชาติพันธุ์","percent","25–49.99%","25–49.99%",,19,8.33
"พื้นที่สูง",2566,11,"% ชาติพันธุ์","percent","50–74.99%","50–74.99%",,13,5.7
"พื้นที่สูง",2566,11,"% ชาติพันธุ์","percent","75–99.99%","75–99.99%",,14,6.14
"พื้นที่สูง",2566,11,"% ชาติพันธุ์","percent","100%","100%",,26,11.4
"พื้นที่สูง",2567,11,"% ชาติพันธุ์","percent","0%","0%",,35,57.38
"พื้นที่สูง",2567,11,"% ชาติพันธุ์","percent","0.01–24.99%","0.01–24.99%",,12,19.67
