area,item_no,item_short,measure,answer,points,n,pct,item_max,variance_share_pct,D
"พื้นที่เกาะ",9,"เดินทางต่อ","ordinal","5. ไม่ต้องเดินทางต่อ",1,5,4.07,5,2.74,0.14
"พื้นที่เกาะ",10,"ไฟฟ้า","binary","1. พลังงานทางเลือกเท่านั้น",5,21,17.07,5,11.03,0.61
"พื้นที่เกาะ",10,"ไฟฟ้า","binary","2. ไฟฟ้าส่วนภูมิภาค",0,102,82.93,5,11.03,0.61
"พื้นที่เกาะ",11,"แหล่งน้ำ","ordinal","1. แหล่งน้ำธรรมชาติ",10,12,9.76,10,13.66,0.33
"พื้นที่เกาะ",11,"แหล่งน้ำ","ordinal","2. บ่อ/สระ/บาดาลของชุมชน",8,29,23.58,10,13.66,0.33
"พื้นที่เกาะ",11,"แหล่งน้ำ","ordinal","3. บ่อ/สระ/บาดาลของโรงเรียน",6,50,40.65,10,13.66,0.33
"พื้นที่เกาะ",11,"แหล่งน้ำ","ordinal","4. ประปาหมู่บ้าน/ชุมชน",4,7,5.69,10,13.66,0.33
"พื้นที่เกาะ",11,"แหล่งน้ำ","ordinal","5. ประปา อปท.",2,7,5.69,10,13.66,0.33
"พื้นที่เกาะ",11,"แหล่งน้ำ","ordinal","6. ประปาส่วนภูมิภาค",0,18,14.63,10,13.66,0.33
"พื้นที่เกาะ",12,"อินเทอร์เน็ต","ordinal","1. ไม่มีเครือข่าย",5,1,0.81,5,2.46,0.15
"พื้นที่เกาะ",12,"อินเทอร์เน็ต","ordinal","2. จานดาวเทียม",4,3,2.44,5,2.46,0.15
"พื้นที่เกาะ",12,"อินเทอร์เน็ต","ordinal","3. ไร้สาย (มือถือ)",3,25,20.33,5,2.46,0.15
"พื้นที่เกาะ",12,"อินเทอร์เน็ต","ordinal","4. Leased line / Fiber",2,94,76.42,5,2.46,0.15
"พื้นที่เกาะ",13,"โทรศัพท์","ordinal","1. ไม่มีเครือข่าย",5,1,0.81,5,1.85,0.12
"พื้นที่เกาะ",13,"โทรศัพท์","ordinal","2. จานดาวเทียม",4,0,0,5,1.85,0.12
"พื้นที่เกาะ",13,"โทรศัพท์","ordinal","3. โทรศัพท์เคลื่อนที่",3,69,56.1,5,1.85,0.12
"พื้นที่เกาะ",13,"โทรศัพท์","ordinal","4. โทรศัพท์พื้นฐาน",2,53,43.09,5,1.85,0.12
"พื้นที่เกาะ",14,"ประกาศคลัง","binary","1. ใช่",2,51,41.46,2,6.31,0.88
"พื้นที่เกาะ",14,"ประกาศคลัง","binary","2. ไม่ใช่",0,72,58.54,2,6.31,0.88
"พื้นที่เกาะ",15,"นักเรียนยากจน","count","0 คน",,7,5.69,2,2.26,0.3
"พื้นที่เกาะ",15,"นักเรียนยากจน","count","1–10",,25,20.33,2,2.26,0.3
"พื้นที่เกาะ",15,"นักเรียนยากจน","count","11–30",,32,26.02,2,2.26,0.3
"พื้นที่เกาะ",15,"นักเรียนยากจน","count","31–50",,15,12.2,2,2.26,0.3
"พื้นที่เกาะ",15,"นักเรียนยากจน","count","≥ 51",,44,35.77,2,2.26,0.3
